review_id,app_id,app_name,user_name,score,content,thumbs_up,at,app_version
7852f726-11f1-4de3-8bab-1add6f09d7f7,com.duolingo,DUOLINGO,Farhan Abdillah,5,gak ada update aku versi old,0,2026-04-26 13:24:18,5.121.14
4ba770cc-55dc-41cc-bd78-04524bf94c98,com.duolingo,DUOLINGO,Devi Melani,3,"Why is this app so slow? Previously, I was studying smoothly without any problems, but now, just opening a single lesson can take up to ten minutes. Please fix this immediately.",0,2026-04-26 13:11:49,
3652eaa4-5f07-4c5f-b79a-b6bcb9a1bbb6,com.duolingo,DUOLINGO,Nun_azzahh,5,"Duolingo ngebantu banget , asalnya aku main duolingo main belajar di duolingo cuman buat b inggris trs aku ikut eskul catur di sekolah nah pas duolingo aku update sendiri ada catur donk , membantu banget trs aku di ajarin sampe aku udah lumayan proo jadi makasih udah buat apk ini love youu ♥️♥️",0,2026-04-26 12:49:42,6.71.2
435b2c23-4849-41e6-9f65-54117fc4950c,com.duolingo,DUOLINGO,Sukarti 12,5,bagus sih ini saya jadi bisa belajar bahasa Inggris tapi ada yang aneh pas aku pake tulisan premium malah salah kocak aneh padahal benar aneh banget sumpah tolong benerin ya orang aku bener eh malah di salahin sama sistem ya kocak bener,0,2026-04-26 11:44:12,6.76.3
be0eb54e-bd00-4e93-b420-4ed34ca9682c,com.duolingo,DUOLINGO,Alleya zevania Kiara,5,bagus buat lagi yang belajar bahasa asing,0,2026-04-26 11:40:01,5.141.11
f0c7fca2-331d-47df-98b0-c1a97753e6cf,com.duolingo,DUOLINGO,Syifa Humaira,2,asik iklan aja bah gak seru dan aplikasi nya selalu ngelag padahal internet aku gak ngelag dah aku buka apk lain lancar euh pas buka apk ini malah ngelag,0,2026-04-26 11:37:17,
04858782-c61d-4d27-8968-6f2f8d54feba,com.duolingo,DUOLINGO,Mmank,3,"bagus, tapi kalau bisa saya mau kursus investasi/trading",0,2026-04-26 11:32:21,6.76.3
5a75d646-b112-4e7c-a36a-2b37da9242fa,com.duolingo,DUOLINGO,Abah Rohim,5,Sangat mendukung pengetahuan tentang bahasa apa saja 👍👍👍👍👍👍👍👍.,0,2026-04-26 11:20:21,5.65.16
bb22943c-5ca0-4ead-9655-38801f57ad81,com.duolingo,DUOLINGO,Khansa Adelia,4,bagus sii suka,0,2026-04-26 11:08:49,5.141.11
9a6b4444-0a4d-4372-8303-94f4ccf21fa2,com.duolingo,DUOLINGO,Ayunda Queensha,3,apaan bgt? gd bhs arab.,0,2026-04-26 10:57:58,6.76.3
eddcccb2-985d-46db-b410-209f3d7856ad,com.duolingo,DUOLINGO,Salwa Zahra,5,"aplikasi ya sangat bagus, seru, dan mudah dipahami aku kasih ranting bintang 5",0,2026-04-26 10:30:03,5.121.14
e1b9aac0-faad-46b0-a9fe-f89a45230cda,com.duolingo,DUOLINGO,Cocomelon Jarjit,3,bagus cuman ad glitch atau bug kh makanya karakternya kaya hilang2 gitu terus yang soal terjemahkan kata gak ada tulisan nya mohon diperbaiki padahal saya sudah mengupdate aplikasinya,0,2026-04-26 10:17:53,6.76.3
4a547242-5543-43ad-985e-8f9f7d3640e1,com.duolingo,DUOLINGO,wastukan bptu hpt denpasar,2,memang bagus tapi di duolingo aku sudah peringkat 1 tapi malah turun Liga 😭,0,2026-04-26 10:08:50,6.76.3
3ab63ef5-7ca5-467c-9d11-4dba1b1b73aa,com.duolingo,DUOLINGO,Noric Firma,5,aplikasi nya bagus buat belajar bahasa juga tidak membosankan,0,2026-04-26 09:58:33,
bb9b70d5-0a50-48e4-aaff-985408db9022,com.duolingo,DUOLINGO,YOHANES ADI,5,seru,0,2026-04-26 09:49:08,6.76.3
1de3dd56-a2ad-46d9-9cd6-e1ee2fd299f2,com.duolingo,DUOLINGO,Ester Wallenstein,1,bug banyak,0,2026-04-26 09:43:45,
0db0b751-e304-4b0f-86e8-3af2be3b79c1,com.duolingo,DUOLINGO,Anita Anita,4,bagus,0,2026-04-26 09:33:34,6.76.3
340060e6-b89c-428a-b4d8-115838ed189f,com.duolingo,DUOLINGO,Adahsadiah Sadiah,5,bagus,0,2026-04-26 09:32:19,5.121.14
dd01ccb7-71eb-49b8-9be1-362d78363db5,com.duolingo,DUOLINGO,Miko,5,good aplikasi,0,2026-04-26 09:09:21,
907bb1b2-8fe1-42c7-84a4-8e0bef452d73,com.duolingo,DUOLINGO,Chia Chiara,5,very nice,0,2026-04-26 08:51:11,5.121.14
3262c30b-0072-4420-9ba8-5ea24a879f2e,com.duolingo,DUOLINGO,Aisha Ramadhani,5,bisa membuat meningkatkan berbicara dengan berbagai bahasa,0,2026-04-26 08:46:35,5.141.11
7a3073d8-ea46-4efe-8ffa-763f7c4c302d,com.duolingo,DUOLINGO,Caesar,5,game ini sangat membantu untuk belajar bahasa Inggris atau lainnya,0,2026-04-26 08:43:44,
04dd2507-cafa-4907-b540-9fdcaf6f588f,com.duolingo,DUOLINGO,Irgy Irgy,4,Cocok untuk pemula,0,2026-04-26 08:39:26,
5c918acf-92cd-408c-8e9d-9344d0481600,com.duolingo,DUOLINGO,Adeeva Myesha,1,tidak profesional. duolingo brazil di twitter tidak profesional,0,2026-04-26 08:31:07,
fb597ce8-c3d7-4f65-b384-435d165ae5a9,com.duolingo,DUOLINGO,lisna wati,4,"cihuy bagus bet ni apk bisa belajar bahasa catur,mtk bagus weh",0,2026-04-26 08:06:44,
4f329a0b-baa3-495c-9499-3290325759fb,com.duolingo,DUOLINGO,Muhammad Abdillah,1,Main catur lawan orang waktunya tambahin dong,0,2026-04-26 07:31:54,6.76.3
094b4540-7664-4415-b6a0-f1c8d7d517d8,com.duolingo,DUOLINGO,Vira Rahayu,5,ini seru sih tapi tidak bisa di download jadi aku suka pinjem hp kkku untuk main ini,0,2026-04-26 07:31:33,
